contract_id,method,comparator,arithmetic_mean,median,geometric_mean,std_dev,minimum,maximum,log_vrr_ci95_lower,log_vrr_ci95_upper,n_valid_replications,n_invalid_replications,beats_comparator_count,beats_comparator_percentage
strike_low,AV,MC,84.35803545671865,84.35803545671865,82.63522249766176,23.987419572723,67.3963684136793,101.319702499758,55.41775632453981,123.22007331455723,2,0,2,100.0
strike_low,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
strike_low,GCV,MC,1237.9012858801166,1237.9012858801166,1230.776044569798,187.56290516394967,1105.2742837396386,1370.5282880205948,996.8491778587347,1519.597653820349,2,0,2,100.0
strike_low,MC,GCV,0.0008171992223538969,0.0008171992223538969,0.0008124955018518721,0.00012381945312662132,0.0007296456474052531,0.0009047527973025407,0.0006580689286311722,0.001003160781200656,2,0,0,0.0
strike_low,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
strike_low,NCV_SCRATCH,GCV,0.0008439351532755492,0.0008439351532755492,0.0008429665124800985,5.71664546979289e-05,0.0008035123655022501,0.0008843579410488483,0.0007673747719462156,0.0009260045640549997,2,0,0,0.0
strike_low,NCV_SCRATCH,MC,1.0393472582787022,1.0393472582787022,1.037502989935052,0.08752450133857158,0.9774580898622273,1.1012364266951773,0.9230868883716614,1.1661009030503942,2,0,1,50.0
strike_low,NCV_TRANSFER_BETA,GCV,0.0009480739102669252,0.0009480739102669252,0.0009341838897192492,0.0002286683166415132,0.0007863809929271986,0.001109766827606652,0.0006665390788783648,0.0013092998857314462,2,0,0,0.0
strike_low,NCV_TRANSFER_BETA,MC,1.152177065734701,1.152177065734701,1.1497711526894852,0.10524530629076059,1.077757395968449,1.226596735500953,1.01287122044314,1.3051745146619256,2,0,2,100.0
strike_low,NCV_TRANSFER_BETA1,GCV,0.0009573258425157954,0.0009573258425157954,0.000943098677016153,0.00023254098201805403,0.0007928945372270504,0.0011217571478045404,0.0006712547690077391,0.0013250335873283953,2,0,0,0.0
strike_low,NCV_TRANSFER_BETA1,MC,1.1632668603780774,1.1632668603780774,1.160743259336949,0.10830396444918586,1.0866843926866712,1.2398493280694833,1.0200371720998807,1.3208586421635187,2,0,2,100.0
volatility_high,AV,GCV,0.010559732194432838,0.010559732194432838,0.010413943953322242,0.002472939690006434,0.00881109977016393,0.012308364618701747,0.007504960424470309,0.014450473091014491,2,0,0,0.0
volatility_high,AV,MC,2.6693076190369354,2.6693076190369354,2.6659142348164147,0.19028640336000255,2.5347548128534787,2.8038604252203916,2.4149166608120316,2.942999575400247,2,0,2,100.0
volatility_high,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
volatility_high,GCV,MC,262.07835014894175,262.07835014894175,255.99467855460648,79.39503975079306,205.93757914858048,318.219121149303,167.116788883103,392.1405855525166,2,0,2,100.0
volatility_high,MC,GCV,0.003999164521477234,0.003999164521477234,0.003906331200500673,0.001211522531228543,0.003142488724085241,0.004855840318869228,0.0025501058468381287,0.005983839246094496,2,0,0,0.0
volatility_high,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
volatility_high,NCV_SCRATCH,GCV,0.004605207272340763,0.004605207272340763,0.004485720132191878,0.0014739395624439398,0.0035629746126775207,0.005647439932004006,0.0028562358079765346,0.007044826287856982,2,0,0,0.0
volatility_high,NCV_SCRATCH,MC,1.148413378953724,1.148413378953724,1.1483204833263874,0.02065703429642486,1.1338066499235189,1.163020107983929,1.120045982215984,1.1773087474659303,2,0,2,100.0
volatility_high,NCV_TRANSFER_BETA,GCV,0.0047081179627416645,0.0047081179627416645,0.004581294428393106,0.0015350023527441526,0.0036227073899789694,0.00579352853550436,0.0028917217943331954,0.0072580490560176505,2,0,0,0.0
volatility_high,NCV_TRANSFER_BETA,MC,1.172960001575091,1.172960001575091,1.1727869945605018,0.02848967127863426,1.152814761820193,1.1931052413299887,1.1339614776847922,1.212941851797706,2,0,2,100.0
volatility_high,NCV_TRANSFER_BETA1,GCV,0.004515552165216831,0.004515552165216831,0.0043962985530588555,0.0014579234473503767,0.003484644609144511,0.005546459721289151,0.0027878342780972747,0.006932779727788756,2,0,0,0.0
volatility_high,NCV_TRANSFER_BETA1,MC,1.1255525164435105,1.1255525164435105,1.125429034920384,0.02357772807087433,1.1088805450396229,1.1422244878473982,1.0932229662364443,1.1585838861419295,2,0,2,100.0
volatility_low,AV,GCV,0.0014131864094465798,0.0014131864094465798,0.0013421706257060425,0.0006255778757858483,0.0009708360513181306,0.0018555367675750288,0.0007113945504188122,0.002532240354452556,2,0,0,0.0
volatility_low,AV,MC,6.359744770340783,6.359744770340783,6.355771564195712,0.3178721995963859,6.134975182455495,6.5845143582260715,5.930230301788769,6.811848801901333,2,0,2,100.0
volatility_low,GCV,GCV,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
volatility_low,GCV,MC,5044.310462879026,5044.310462879026,4735.442307010922,2457.9073224521258,3306.3075276450577,6782.313398112994,2341.8907653696365,9575.34577386214,2,0,2,100.0
volatility_low,MC,GCV,0.00022494726052548083,0.00022494726052548083,0.00021117351562270728,0.00010960854270963319,0.00014744231669952388,0.0003024522043514378,0.0001044348709296435,0.0004270053987091764,2,0,0,0.0
volatility_low,MC,MC,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,0,0,0.0
volatility_low,NCV_SCRATCH,GCV,0.00028050336057763837,0.00028050336057763837,0.0002606160796026541,0.00014670647121304336,0.0001767662199389464,0.00038424050121633037,0.0001217703121989989,0.0005577775052137484,2,0,0,0.0
volatility_low,NCV_SCRATCH,MC,1.2346505817116837,1.2346505817116837,1.2341324092377337,0.05058172377580885,1.1988839018257045,1.270417261597663,1.165992844296559,1.3062539885909898,2,0,2,100.0
volatility_low,NCV_TRANSFER_BETA,GCV,0.00025353917884711664,0.00025353917884711664,0.000243735197461876,9.874480977439199e-05,0.00018371605424866838,0.0003233623034455649,0.00014005119365213266,0.0004241795084541577,2,0,0,0.0
volatility_low,NCV_TRANSFER_BETA,MC,1.1575775371089567,1.1575775371089567,1.1541939657686295,0.1250763271168627,1.0691352180387164,1.2460198561791973,0.9933820737078232,1.341038605261299,2,0,2,100.0
volatility_low,NCV_TRANSFER_BETA1,GCV,0.00023840455610378818,0.00023840455610378818,0.00023447878646414016,6.093325970844449e-05,0.00019531823496414606,0.0002814908772434303,0.000163891509391092,0.0003354676609298724,2,0,0,0.0
volatility_low,NCV_TRANSFER_BETA1,MC,1.127702444143237,1.127702444143237,1.11036076551887,0.27861002466881823,0.9306954063933645,1.3247094818931098,0.785628617211819,1.5693178718198852,2,0,1,50.0
