base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,pilot_runtime_s,target_training_paths,target_training_runtime_s,shared_reference_training_paths,shared_reference_training_runtime_s,training_paths,total_simulated_paths,pricing_runtime_s,marginal_runtime_s,standalone_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,validation_generation_and_evaluation_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,validation_generation_and_evaluation_runtime_cost_scope,n_pricing,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,e_h0,training_runtime_s,end_to_end_runtime_s,var_c0_pilot
42,0,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,3.6828898348214993,18.454997449318412,0.09227498724659206,0.30376798258966015,3.0875045889457655,4.278275080697233,200,200,50,0.0006822990000046047,0,0.0,100,1.2069169470000816,0,250,0.0018591259999993781,0.0018591259999993781,1.2094583720000855,0.690055206205342,0.49396973281796897,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,19.730887721880997,10.705895563471511,4.618313686805476,17.73863764029897,ok,18.454997449318412,21.200155911741557,1.1487487857943068,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2094583720000855,8.979794879138979
42,0,volatility_high,100.0,0.5,1.0,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,11.628292129380181,413.29552188676814,2.0664776094338406,1.4375248204583602,8.810743481281795,14.445840777478567,200,200,0,0.0,0,0.0,0,0.0,0,200,0.001597504999949706,0.001597504999949706,0.001597504999949706,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,volatility_high,100.0,0.5,1.0,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,13.509461478282505,147.40231652375562,0.7370115826187781,0.8584937871754099,11.826813655418702,15.192109301146308,200,400,0,0.0,0,0.0,0,0.0,0,400,0.00246503199991821,0.00246503199991821,0.00246503199991821,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,volatility_high,100.0,0.5,1.0,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,12.332486243821522,1.298776517244094,0.00649388258622047,0.08058462996267012,12.17454036909469,12.490432118548355,200,200,50,0.0010614000000259693,0,0.0,0,0.0,0,250,0.002108774000021185,0.002108774000021185,0.0031701740000471545,1.0778385163066855,0.9990921488373528,,,,,,,,,,,,,,,,,,,,,,,
42,0,volatility_high,100.0,0.5,1.0,NCV_SCRATCH,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,11.497235037583813,364.5202838726048,1.822601419363024,1.3500375622044833,8.851161415663025,14.143308659504601,200,200,0,0.0,100,0.18033337300005314,0,0.0,100,300,0.004321813000046859,0.004321813000046859,0.1846551860001,nan,nan,,,,0.0011655060000066442,0.1791678670000465,0.0,0.18033337300005314,True,research_tuning_overhead_excluded_from_operational_setup_cost,,,,,,,,,,,,,,
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,11.858336820383457,372.71419697601436,1.863570984880072,1.365126728505479,9.182688432512718,14.533985208254196,200,200,0,0.0,0,0.0,100,1.2069169470000816,0,200,0.004477564000012535,0.004477564000012535,1.211394511000094,1.0,0.4003177681920137,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,413.29552188676814,9.447265073306912,25.01429499203037,347.06313091509287,ok,372.71419697601436,372.71419697601436,1.0,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.211394511000094,
42,0,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,200,capacity_and_data_sensitivity_best_tested_configuration,11.984178547746053,358.5099146667856,1.792549573333928,1.3388612972723977,9.360010405092154,14.608346690399951,200,200,50,0.0007133069999554209,0,0.0,100,1.2069169470000816,0,250,0.0018611790000022665,0.0018611790000022665,1.2094914330000393,1.5470316520401786,0.2557198296536821,da51e340e039cb3d410e5a84f2f4c5d7180fa3d55f3225e03d0f655ed80116df,True,,,,,,,,200,413.29552188676814,9.447265073306912,25.01429499203037,347.06313091509287,ok,358.5099146667856,372.71419697601436,1.0396203332965863,residual_variance_beta_one / observed_residual_variance,2.7599529067377064,1.2069169470000816,1.2094914330000393,9.585458644429824
42,0,maturity_short,100.0,0.2,0.5,MC,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,4.0395851457496486,31.646185831634924,0.1582309291581746,0.39778251489749344,3.2599314165505615,4.819238874948736,200,200,0,0.0,0,0.0,0,0.0,0,200,0.001604587999963769,0.001604587999963769,0.001604587999963769,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,maturity_short,100.0,0.2,0.5,AV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,3.9608604080648098,7.1273113555009955,0.03563655677750498,0.1887764730508147,3.590858520885213,4.3308622952444065,200,400,0,0.0,0,0.0,0,0.0,0,400,0.0024285630000804304,0.0024285630000804304,0.0024285630000804304,nan,nan,,,,,,,,,,,,,,,,,,,,,,,
42,0,maturity_short,100.0,0.2,0.5,GCV,252,expanded_training_followup_stage8_m252_n20000_r5_smoke,NA,NA,3.8612208223657025,0.00999892855091509,4.999464275457545e-05,0.007070688987261103,3.847362271950671,3.875079372780734,200,200,50,0.0010489960000086285,0,0.0,0,0.0,0,250,0.0021136130000058984,0.0021136130000058984,0.003162609000014527,1.015804839820868,0.9998834938328799,,,,,,,,,,,,,,,,,,,,,,,
