result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_SCRATCH,1,200,100,100,100,0,0,100,1,100,100,200,100,200,0,200,True,,200,True,1.1853643270572622
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA1,1,200,100,100,0,0,100,100,1,100,100,200,100,200,0,200,True,,200,True,1.1997407488687302
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_long,NCV_TRANSFER_BETA,1,200,50,50,0,50,100,150,1,50,150,200,50,200,0,200,True,,200,True,1.6991791337617108
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,0.6195324174872908
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,0.4319850744375315
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.017395379780985758
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,reference,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.5797001003338507
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,0.7687053410434584
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,0.12051631478802301
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.022514496172756217
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.7956030664995659
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA1,5,200,180,180,0,0,100,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.7535462537680186
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA,5,200,170,170,0,50,100,150,1,170,150,1000,170,1000,0,1000,True,,1000,True,0.7790394734701148
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,0.12846930316970184
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,0.19532901523731858
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.014175363400790206
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.17839752333244205
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA1,5,200,180,180,0,0,100,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.2515769184116114
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA,5,200,170,170,0,50,100,150,1,170,150,1000,170,1000,0,1000,True,,1000,True,0.1361500446871415
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,0.3248510062242862
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,0.18207499600226595
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,GCV,5,200,190,190,0,50,0,50,1,190,50,1000,190,1000,0,1000,True,,1000,True,0.00494235459602762
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_SCRATCH,5,200,180,180,100,0,0,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.3085905308832171
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA1,5,200,180,180,0,0,100,100,1,180,100,1000,180,1000,0,1000,True,,1000,True,0.3256199359596423
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA,5,200,170,170,0,50,100,150,1,170,150,1000,170,1000,0,1000,True,,1000,True,0.3276330025767181
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,MC,5,200,200,200,0,0,0,0,1,200,0,1000,200,1000,0,1000,True,,1000,True,1.398890276043624
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,AV,5,200,100,200,0,0,0,0,2,100,0,500,200,1000,0,1000,True,,1000,True,1.210703978283847
