replication,contract_id,method,K,sigma,T,monitoring_dates,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,beta,payoff_control_correlation,training_paths,pilot_paths,pricing_observations,pricing_simulated_paths,training_runtime_s,pilot_runtime_s,marginal_pricing_runtime_s,standalone_runtime_s,selected_checkpoint,parameter_checkpoint_hash,failure_status,failure_message
0,volatility_high,PCNCV_BETA1,100.0,0.5,1.0,12,13.41724526704759,459.918874325668,2.29959437162834,1.5164413511996895,10.4450202186962,16.38947031539898,1.0,0.3102008470838291,100,0,200,200,0.011935219999941182,0.0,1.0960000054183183e-06,0.0119363159999466,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,volatility_high,PCNCV_BETA,100.0,0.5,1.0,12,13.063794284945994,432.6676257334254,2.1633381286671267,1.4708290616747843,10.180969324063415,15.946619245828572,5.990313018483179,0.17687319591755826,100,50,200,200,0.011935219999941182,0.00010960999998133047,0.00010960999998133047,0.012154439999903843,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,maturity_short,MC,100.0,0.2,0.5,12,3.7912772210981633,28.715237412804782,0.14357618706402392,0.378914485159942,3.048604830184677,4.53394961201165,nan,nan,0,0,200,200,0.0,0.0,5.2639000159615534e-05,5.2639000159615534e-05,2,,,
0,maturity_short,GCV,100.0,0.2,0.5,12,4.112280406166674,0.012558818100688632,6.279409050344315e-05,0.007924272238095002,4.096748832580007,4.12781197975334,1.0234893545895332,0.9997315121442882,0,50,200,200,0.0,0.0002605790000416164,5.698099994333461e-05,0.000317559999984951,2,,,
0,maturity_short,NCV_TRANSFER_BETA1,100.0,0.2,0.5,12,3.78928802862373,23.993080755970762,0.11996540377985382,0.346360222571608,3.1104219923833787,4.468154064864081,1.0,0.4970326466716503,0,0,200,200,0.0056660630000351375,0.0,8.727099998395715e-05,0.005753334000019095,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,maturity_short,NCV_TRANSFER_BETA,100.0,0.2,0.5,12,3.7864349147457803,21.626462291098495,0.10813231145549247,0.3288347783545598,3.141918749170843,4.4309510803207175,2.43430759698741,0.49125356308412516,0,50,200,200,0.0056660630000351375,8.936099993661628e-05,8.936099993661628e-05,0.00584478499990837,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,maturity_short,PCNCV_BETA1,100.0,0.2,0.5,12,3.7785941267215137,27.7388121632212,0.138694060816106,0.372416515230066,3.0486577568705844,4.508530496572443,1.0,0.23801112023117502,100,0,200,200,0.011935219999941182,0.0,8.580000212532468e-07,0.011936077999962436,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,maturity_short,PCNCV_BETA,100.0,0.2,0.5,12,3.740229872871444,27.463487983511456,0.1373174399175573,0.37056367862697676,3.0139250627625693,4.466534682980318,4.02483390178835,0.4145487264533933,100,50,200,200,0.011935219999941182,0.00010974599990731804,0.00010974599990731804,0.012154711999755818,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,maturity_long,MC,100.0,0.2,2.0,12,8.82926876785153,143.80261191248138,0.7190130595624069,0.8479463777635983,7.1672938674348785,10.491243668268183,nan,nan,0,0,200,200,0.0,0.0,5.123500000081549e-05,5.123500000081549e-05,2,,,
0,maturity_long,GCV,100.0,0.2,2.0,12,9.317151895745722,0.29969433391119715,0.0014984716695559857,0.038710097772493235,9.241280104111635,9.39302368737981,1.0399754356171511,0.9994581290738731,0,50,200,200,0.0,0.0002500699999927747,5.9334999832572066e-05,0.00030940499982534675,2,,,
0,maturity_long,NCV_TRANSFER_BETA1,100.0,0.2,2.0,12,8.803360131808613,132.665785084724,0.66332892542362,0.814450075464187,7.2070379838988075,10.39968227971842,1.0,0.46664466251692654,0,0,200,200,0.0056660630000351375,0.0,6.947299993953493e-05,0.0057355359999746724,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,maturity_long,NCV_TRANSFER_BETA,100.0,0.2,2.0,12,8.69941003001897,112.4924587087371,0.5624622935436855,0.7499748619411757,7.229459300614266,10.169360759423675,5.0121796306624535,0.39798939259517646,0,50,200,200,0.0056660630000351375,8.833299989419174e-05,8.833299989419174e-05,0.005842728999823521,2,5d4f00fb9b47baa928e712ff8f27e2788068d641b1edb92b16c393da069d1da1,,
0,maturity_long,PCNCV_BETA1,100.0,0.2,2.0,12,8.797223636736254,140.57290098824325,0.7028645049412162,0.8383701479306239,7.154018146792231,10.440429126680277,1.0,0.230048971534013,100,0,200,200,0.011935219999941182,0.0,8.100000741251279e-07,0.011936030000015307,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
0,maturity_long,PCNCV_BETA,100.0,0.2,2.0,12,8.73158313189782,136.7242872244187,0.6836214361220935,0.8268140275310364,7.1110276379369886,10.35213862585865,3.048376853329134,0.17491759260454623,100,50,200,200,0.011935219999941182,0.00011294000000816595,0.00011294000000816595,0.012161099999957514,2,f4b0ed72d866bb163ed5d0cf9ed84bdb109d24f23e8619f937b573a5f3ce88e9,,
1,reference,MC,100.0,0.2,1.0,12,6.4444225111887325,66.71274258423816,0.3335637129211908,0.5775497493040671,5.312425002552761,7.576420019824704,nan,nan,0,0,200,200,0.0,0.0,7.594299995616893e-05,7.594299995616893e-05,10,,,
1,reference,GCV,100.0,0.2,1.0,12,6.144112447191621,0.04258235260938276,0.00021291176304691383,0.014591496257989235,6.115513114525962,6.172711779857281,1.0195652647127111,0.9997535722239996,0,50,200,200,0.0,0.00032555400002820534,6.0871999949085875e-05,0.0003864259999772912,10,,,
1,reference,NCV_TRANSFER_BETA1,100.0,0.2,1.0,12,6.420864734510182,55.76952117068784,0.2788476058534392,0.5280602293805501,5.385866684924304,7.455862784096061,1.0,0.6318048859951406,0,0,200,200,0.0050019459999930405,0.0,8.149400014190178e-05,0.005083440000134942,10,e7bfef100dc9163506e7e964f02d0e3e5f3fc82a266eb81b4949fc3f0c67fbbd,,
1,reference,NCV_TRANSFER_BETA,100.0,0.2,1.0,12,6.349584158154438,40.19172443524637,0.20095862217623187,0.44828408646329604,5.470947348686378,7.228220967622498,4.025776894330152,0.6368921660093123,0,50,200,200,0.0050019459999930405,9.435100014343334e-05,9.435100014343334e-05,0.005190648000279907,10,e7bfef100dc9163506e7e964f02d0e3e5f3fc82a266eb81b4949fc3f0c67fbbd,,
