replication,contract_id,method,training_runtime_s,pilot_runtime_s,marginal_pricing_runtime_s,standalone_runtime_s,training_paths,pilot_paths,pricing_simulated_paths
0,maturity_long,PCNCV_BETA,0.011935219999941182,0.00011294000000816595,0.00011294000000816595,0.012161099999957514,100,50,200
1,reference,MC,0.0,0.0,7.594299995616893e-05,7.594299995616893e-05,0,0,200
1,reference,GCV,0.0,0.00032555400002820534,6.0871999949085875e-05,0.0003864259999772912,0,50,200
1,reference,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,8.149400014190178e-05,0.005083440000134942,0,0,200
1,reference,NCV_TRANSFER_BETA,0.0050019459999930405,9.435100014343334e-05,9.435100014343334e-05,0.005190648000279907,0,50,200
1,reference,PCNCV_BETA1,0.010419270000056713,0.0,8.900001375877764e-07,0.0104201600001943,100,0,200
1,reference,PCNCV_BETA,0.010419270000056713,0.00012446899995666172,0.00012446899995666172,0.010668207999970036,100,50,200
1,strike_low,MC,0.0,0.0,5.7141000070259906e-05,5.7141000070259906e-05,0,0,200
1,strike_low,GCV,0.0,0.00026686000001063803,6.165500008137315e-05,0.0003285150000920112,0,50,200
1,strike_low,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,7.572399999844492e-05,0.005077669999991485,0,0,200
1,strike_low,NCV_TRANSFER_BETA,0.0050019459999930405,9.195999996336468e-05,9.195999996336468e-05,0.00518586599991977,0,50,200
1,strike_low,PCNCV_BETA1,0.010419270000056713,0.0,8.949998573370976e-07,0.01042016499991405,100,0,200
1,strike_low,PCNCV_BETA,0.010419270000056713,0.0001350559998627432,0.0001350559998627432,0.0106893819997822,100,50,200
1,strike_high,MC,0.0,0.0,5.75340000068536e-05,5.75340000068536e-05,0,0,200
1,strike_high,GCV,0.0,0.00029826000013599696,6.0258999837969895e-05,0.00035851899997396686,0,50,200
1,strike_high,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,7.935200005704246e-05,0.005081298000050083,0,0,200
1,strike_high,NCV_TRANSFER_BETA,0.0050019459999930405,0.00010760899999695539,0.00010760899999695539,0.005217163999986951,0,50,200
1,strike_high,PCNCV_BETA1,0.010419270000056713,0.0,8.949998573370976e-07,0.01042016499991405,100,0,200
1,strike_high,PCNCV_BETA,0.010419270000056713,0.00010892899990722071,0.00010892899990722071,0.010637127999871154,100,50,200
1,volatility_low,MC,0.0,0.0,5.321599996932491e-05,5.321599996932491e-05,0,0,200
1,volatility_low,GCV,0.0,0.0002649539999310946,5.7810999805951724e-05,0.0003227649997370463,0,50,200
1,volatility_low,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,8.057700006247615e-05,0.005082523000055517,0,0,200
1,volatility_low,NCV_TRANSFER_BETA,0.0050019459999930405,9.478200013290916e-05,9.478200013290916e-05,0.005191510000258859,0,50,200
1,volatility_low,PCNCV_BETA1,0.010419270000056713,0.0,9.020000106829684e-07,0.010420172000067396,100,0,200
1,volatility_low,PCNCV_BETA,0.010419270000056713,0.00012211800003569806,0.00012211800003569806,0.010663506000128109,100,50,200
1,volatility_high,MC,0.0,0.0,5.544999999074207e-05,5.544999999074207e-05,0,0,200
1,volatility_high,GCV,0.0,0.00028162900002826063,6.0288999975455226e-05,0.00034191800000371586,0,50,200
1,volatility_high,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,8.073000003605557e-05,0.005082676000029096,0,0,200
1,volatility_high,NCV_TRANSFER_BETA,0.0050019459999930405,0.00011477499992906814,0.00011477499992906814,0.005231495999851177,0,50,200
1,volatility_high,PCNCV_BETA1,0.010419270000056713,0.0,9.150001005764352e-07,0.01042018500015729,100,0,200
1,volatility_high,PCNCV_BETA,0.010419270000056713,0.00011412300000301911,0.00011412300000301911,0.010647516000062751,100,50,200
1,maturity_short,MC,0.0,0.0,5.528499991669378e-05,5.528499991669378e-05,0,0,200
1,maturity_short,GCV,0.0,0.0002622389999942243,5.516099986380141e-05,0.0003173999998580257,0,50,200
1,maturity_short,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,7.143099992390489e-05,0.005073376999916945,0,0,200
1,maturity_short,NCV_TRANSFER_BETA,0.0050019459999930405,8.430299999417912e-05,8.430299999417912e-05,0.005170551999981399,0,50,200
1,maturity_short,PCNCV_BETA1,0.010419270000056713,0.0,8.4499993135978e-07,0.010420114999988073,100,0,200
1,maturity_short,PCNCV_BETA,0.010419270000056713,0.00010411499988549622,0.00010411499988549622,0.010627499999827705,100,50,200
1,maturity_long,MC,0.0,0.0,5.522299989024759e-05,5.522299989024759e-05,0,0,200
1,maturity_long,GCV,0.0,0.00027366099993741955,5.712400002266804e-05,0.0003307849999600876,0,50,200
1,maturity_long,NCV_TRANSFER_BETA1,0.0050019459999930405,0.0,7.385100002466061e-05,0.005075797000017701,0,0,200
1,maturity_long,NCV_TRANSFER_BETA,0.0050019459999930405,8.296900000459573e-05,8.296900000459573e-05,0.005167884000002232,0,50,200
1,maturity_long,PCNCV_BETA1,0.010419270000056713,0.0,8.83999973666505e-07,0.01042015400003038,100,0,200
1,maturity_long,PCNCV_BETA,0.010419270000056713,0.00011300699998173513,0.00011300699998173513,0.010645284000020183,100,50,200
