replication,contract_id,method,comparator,variance_ratio,is_valid,beats_comparator
0,volatility_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.8062430982518012,True,False
0,volatility_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7276468588797451,True,False
0,volatility_low,PCNCV_BETA1,GCV,0.00021368641494283857,True,False
0,volatility_low,PCNCV_BETA,GCV,0.00021328914697013766,True,False
0,volatility_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.8062430982518012,True,False
0,volatility_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7276468588797451,True,False
0,volatility_low,PCNCV_BETA1,GCV,0.00021368641494283857,True,False
0,volatility_low,PCNCV_BETA,GCV,0.00021328914697013766,True,False
0,volatility_low,PCNCV_BETA1,NCV_TRANSFER_BETA1,0.8062430982518012,True,False
0,volatility_low,PCNCV_BETA,NCV_TRANSFER_BETA,0.7276468588797451,True,False
1,maturity_long,PCNCV_BETA1,GCV,0.004423403198055529,True,False
1,maturity_long,PCNCV_BETA,GCV,0.008329969703459467,True,False
1,maturity_long,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.2671123799707824,True,True
1,maturity_long,PCNCV_BETA,NCV_TRANSFER_BETA,1.6369866846224246,True,True
1,maturity_long,PCNCV_BETA1,GCV,0.004423403198055529,True,False
1,maturity_long,PCNCV_BETA,GCV,0.008329969703459467,True,False
1,maturity_long,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.2671123799707824,True,True
1,maturity_long,PCNCV_BETA,NCV_TRANSFER_BETA,1.6369866846224246,True,True
1,maturity_long,PCNCV_BETA1,GCV,0.004423403198055529,True,False
1,maturity_long,PCNCV_BETA,GCV,0.008329969703459467,True,False
1,maturity_long,PCNCV_BETA1,NCV_TRANSFER_BETA1,1.2671123799707824,True,True
1,maturity_long,PCNCV_BETA,NCV_TRANSFER_BETA,1.6369866846224246,True,True
1,maturity_long,PCNCV_BETA1,GCV,0.004423403198055529,True,False
