result_type,projection_scope,setup_reuse_assumption,contract_id,method,Q,budget_paths_per_valuation,pricing_observations,pricing_simulated_paths,training_paths,pilot_paths,shared_paths,setup_paths_counted_once,paths_per_pricing_observation,pricing_independent_random_vectors_per_valuation,setup_independent_random_vectors_counted_once,total_independent_random_vectors,pricing_payoff_evaluations_per_valuation,total_payoff_evaluations,validation_paths,total_paths_used,feasible,failure_reason,total_budget_paths,budget_constraint_satisfied,projected_estimator_standard_error
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.0023592895711745695
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA1,5,50000,46000,46000,0,0,20000,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.02371555230496555
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_low,NCV_TRANSFER_BETA,5,50000,45800,45800,0,1000,20000,21000,1,45800,21000,250000,45800,250000,0,250000,True,,250000,True,0.020962113812149533
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.011208627336765083
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.010952840657396937
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.0007943140752086208
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.0008117307825670408
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA1,5,50000,46000,46000,0,0,20000,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.030622678698293434
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,strike_high,NCV_TRANSFER_BETA,5,50000,45800,45800,0,1000,20000,21000,1,45800,21000,250000,45800,250000,0,250000,True,,250000,True,0.00862884960741399
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.018921353427329455
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.010597300236840624
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.0002779157585156368
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.0002596794273006531
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA1,5,50000,46000,46000,0,0,20000,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.017898306454283707
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_low,NCV_TRANSFER_BETA,5,50000,45800,45800,0,1000,20000,21000,1,45800,21000,250000,45800,250000,0,250000,True,,250000,True,0.002797115228945899
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.09522043177218106
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.07742767485393319
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.006658263752872772
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.003957966268425004
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA1,5,50000,46000,46000,0,0,20000,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.06318515719973226
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,volatility_high,NCV_TRANSFER_BETA,5,50000,45800,45800,0,1000,20000,21000,1,45800,21000,250000,45800,250000,0,250000,True,,250000,True,0.019646403961527052
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,MC,5,50000,50000,50000,0,0,0,0,1,50000,0,250000,50000,250000,0,250000,True,,250000,True,0.02430947838217509
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,AV,5,50000,25000,50000,0,0,0,0,2,25000,0,125000,50000,250000,0,250000,True,,250000,True,0.01710695455504637
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,GCV,5,50000,49800,49800,0,1000,0,1000,1,49800,1000,250000,49800,250000,0,250000,True,,250000,True,0.00046302978187664557
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_SCRATCH,5,50000,46000,46000,20000,0,0,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.00042148794140864273
projected,amortised_q_reused_setup,all reusable setup paths counted once over Q valuations; pricing paths scale with Q,maturity_short,NCV_TRANSFER_BETA1,5,50000,46000,46000,0,0,20000,20000,1,46000,20000,250000,46000,250000,0,250000,True,,250000,True,0.011990037387711374
