base_seed,replication,contract_id,K,sigma,T,method,monitoring_dates,experiment_role,ncv_epoch,ncv_epoch_source,estimated_beta,payoff_control_correlation,payoff_variance,control_variance,payoff_control_covariance,optimal_residual_variance,optimal_residual_variance_status,observed_residual_variance,residual_variance_beta_one,variance_improvement_from_estimating_beta,variance_improvement_from_estimating_beta_definition,parameter_hash,hash_verification,target_training_paths,pilot_paths,pricing_paths,marginal_runtime_s,error
42,1,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.999433580366192,141.31499610787984,63.70355148137896,94.82653582281355,0.16004183843386954,ok,15.365475943631793,15.365475943631793,1.0,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,0,50000,0.3618538460000309,
42,1,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.486989428695761,0.9994700717303403,141.31499610787984,63.70355148137896,94.82653582281355,0.16004183843386954,ok,0.16019890409975263,15.365475943631793,95.91498787072864,residual_variance_beta_one / observed_residual_variance,6e1cf0e92b4387cab442cb651f8472fb163170cc1275ee354b500e71626c9ed0,True,0,1000,50000,0.3609321879998788,
42,2,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9174597750879264,126.61420470498855,62.776810472101054,81.79520989876907,20.03892137871908,ok,25.800595379551474,25.800595379551474,1.0,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,0,50000,0.35496204400010356,
42,2,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.3055170585769957,0.916490352469042,126.61420470498855,62.776810472101054,81.79520989876907,20.03892137871908,ok,20.03933421957356,25.800595379551478,1.2874976332472445,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,1000,50000,0.3620620819999658,
42,2,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.6846321600067612,6.4642934592348835,64.49501546420012,13.97915445573528,3.4343421073234257,ok,43.00100001196447,43.00100001196447,1.0,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,0,50000,0.3542705999998361,
42,2,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.19604722974854422,0.6760280779950628,6.4642934592348835,64.49501546420012,13.97915445573528,3.4343421073234257,ok,3.4619791713037005,43.00100001196447,12.420929729560244,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,1000,50000,0.3585691959999622,
42,2,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.9901063356692317,18.213789510431063,64.92727843322825,34.04831276132803,0.35861938982553454,ok,15.04444242100333,15.04444242100333,1.0,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,0,50000,0.35367239699985475,
42,2,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,0.5248084658670734,0.9907362793749287,18.213789510431063,64.92727843322825,34.04831276132803,0.35861938982553454,ok,0.35862985972127553,15.04444242100333,41.949776386985064,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,1000,50000,0.36503187400012393,
42,2,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,1.0,0.980400257079901,444.8158135570782,62.68304757069419,163.70750031670775,17.265675224707593,ok,180.08386049435623,180.08386049435623,1.0,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,0,50000,0.35948670400011906,
42,2,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,252,expanded_training_followup_stage8_m252_n20000_r5,200,capacity_and_data_sensitivity_best_tested_configuration,2.5806775597645,0.9814417294715033,444.8158135570782,62.68304757069419,163.70750031670775,17.265675224707593,ok,17.325888315200185,180.08386049435623,10.393917888548707,residual_variance_beta_one / observed_residual_variance,c46ce45051a7a9765cd32972245d223b0efb4962f16fbc80ab12c0eb9b211779,True,0,1000,50000,0.35853125300013744,
