contract_id,method,cost_scope,target_definition,target_se,Q,required_pricing_observations,required_simulated_paths,training_paths,pilot_paths,shared_paths,runtime_projection_basis_n,runtime_projection_is_empirical_or_projected,setup_reuse_assumption,projected_pricing_runtime_s_median,projected_pricing_runtime_s_mean_sensitivity,setup_cost_s,ncv_setup_cost_s,setup_runtime_components,marginal_pricing_cost_s,marginal_runtime_components,projected_total_cost_s,marginal_runtime_s,one_time_runtime_s,standalone_runtime_s,feasible,failure_reason
strike_low,NCV_TRANSFER_BETA1,end_to_end,match_scratch_50000_se,0.0022143005317488656,1,5276564,5276564,0,0,20000,50000,projected_from_empirical_single_n,shared reference NCV training counted once,37.262685295588646,37.29256151753769,12.507258970000066,12.507258970000066,shared_reference_training_runtime_s,37.262685295588646,pricing_runtime_s,49.76994426558871,37.262685295588646,12.507258970000066,49.76994426558871,True,
strike_low,NCV_TRANSFER_BETA1,end_to_end,fixed_se_0.001,0.001,1,25871662,25871662,0,0,20000,50000,projected_from_empirical_single_n,shared reference NCV training counted once,182.70366836824863,182.85015527072963,12.507258970000066,12.507258970000066,shared_reference_training_runtime_s,182.70366836824863,pricing_runtime_s,195.2109273382487,182.70366836824863,12.507258970000066,195.2109273382487,True,
strike_low,NCV_TRANSFER_BETA,end_to_end,match_gcv_50000_se,0.001302392291246947,1,11864570,11864570,0,1000,20000,50000,projected_from_empirical_single_n,shared reference NCV training counted once,84.16937835491673,84.35664692437076,12.515396565000174,12.515396565000174,shared_reference_training_runtime_s|pilot_runtime_s,84.16937835491673,pricing_runtime_s,96.6847749199169,84.16937835491673,12.515396565000174,96.6847749199169,True,
strike_low,NCV_TRANSFER_BETA,end_to_end,match_scratch_50000_se,0.0022143005317488656,1,4104522,4104522,0,1000,20000,50000,projected_from_empirical_single_n,shared reference NCV training counted once,29.11821205354088,29.18299720489762,12.515396565000174,12.515396565000174,shared_reference_training_runtime_s|pilot_runtime_s,29.11821205354088,pricing_runtime_s,41.633608618541054,29.11821205354088,12.515396565000174,41.633608618541054,True,
strike_low,NCV_TRANSFER_BETA,end_to_end,fixed_se_0.001,0.001,1,20124988,20124988,0,1000,20000,50000,projected_from_empirical_single_n,shared reference NCV training counted once,142.77025879236743,143.08790854394206,12.515396565000174,12.515396565000174,shared_reference_training_runtime_s|pilot_runtime_s,142.77025879236743,pricing_runtime_s,155.2856553573676,142.77025879236743,12.515396565000174,155.2856553573676,True,
strike_high,MC,end_to_end,match_gcv_50000_se,0.0007927038525958394,1,9996615,9996615,0,0,0,50000,projected_from_empirical_single_n,no setup cost,67.70539956178537,67.81976103731776,0.0,NA,none,67.70539956178537,pricing_runtime_s,67.70539956178537,67.70539956178537,0.0,67.70539956178537,True,
strike_high,MC,end_to_end,match_scratch_50000_se,0.0007742351150601923,1,10479225,10479225,0,0,0,50000,projected_from_empirical_single_n,no setup cost,70.97403628356702,71.09391882715161,0.0,NA,none,70.97403628356702,pricing_runtime_s,70.97403628356702,70.97403628356702,0.0,70.97403628356702,True,
strike_high,MC,end_to_end,fixed_se_0.001,0.001,1,6281667,6281667,0,0,0,50000,projected_from_empirical_single_n,no setup cost,42.544678788678134,42.61654118479153,0.0,NA,none,42.544678788678134,pricing_runtime_s,42.544678788678134,42.544678788678134,0.0,42.544678788678134,True,
strike_high,AV,end_to_end,match_gcv_50000_se,0.0007927038525958394,1,4772783,9545566,0,0,0,50000,projected_from_empirical_single_n,no setup cost,47.15529659233958,47.16371387243732,0.0,NA,none,47.15529659233958,pricing_runtime_s,47.15529659233958,47.15529659233958,0.0,47.15529659233958,True,
strike_high,AV,end_to_end,match_scratch_50000_se,0.0007742351150601923,1,5003200,10006400,0,0,0,50000,projected_from_empirical_single_n,no setup cost,49.43182623446182,49.440649877980704,0.0,NA,none,49.43182623446182,pricing_runtime_s,49.43182623446182,49.43182623446182,0.0,49.43182623446182,True,
strike_high,AV,end_to_end,fixed_se_0.001,0.001,1,2999118,5998236,0,0,0,50000,projected_from_empirical_single_n,no setup cost,29.631411862937053,29.636701107441183,0.0,NA,none,29.631411862937053,pricing_runtime_s,29.631411862937053,29.631411862937053,0.0,29.631411862937053,True,
strike_high,GCV,end_to_end,match_gcv_50000_se,0.0007927038525958394,1,50003,50003,0,1000,0,50000,projected_from_empirical_single_n,GCV pilot counted once per target,0.3894452423127516,0.389445825547647,0.007608873999970456,NA,pilot_runtime_s,0.3894452423127516,pricing_runtime_s,0.3970541163127221,0.3894452423127516,0.007608873999970456,0.3970541163127221,True,
strike_high,GCV,end_to_end,match_scratch_50000_se,0.0007742351150601923,1,52417,52417,0,1000,0,50000,projected_from_empirical_single_n,GCV pilot counted once per target,0.408246530534318,0.4082471419261047,0.007608873999970456,NA,pilot_runtime_s,0.408246530534318,pricing_runtime_s,0.41585540453428843,0.408246530534318,0.007608873999970456,0.41585540453428843,True,
strike_high,GCV,end_to_end,fixed_se_0.001,0.001,1,31421,31421,0,1000,0,50000,projected_from_empirical_single_n,GCV pilot counted once per target,0.24472049594442272,0.24472086243890598,0.007608873999970456,NA,pilot_runtime_s,0.24472049594442272,pricing_runtime_s,0.25232936994439314,0.24472049594442272,0.007608873999970456,0.25232936994439314,True,
