config_id,replication,checkpoint,split,train_seed,validation_seed,test_seed,pilot_seed,network_init_seed,train_paths,validation_paths,test_paths,hidden_width,parameter_count,parameter_count_formula,parameter_to_training_path_ratio,parameters_per_training_path,paths_per_parameter,mse,payoff_mean,network_output_mean,analytic_eh,payoff_variance,network_output_variance,payoff_network_covariance,payoff_network_correlation,centered_residual_mean,centered_residual_variance,ncv_price_estimate,estimator_variance_at_reporting_n,standard_error,ncv_vrr_vs_mc,generalization_gap_ratio,generalization_gap_log,optimizer_cumulative_runtime_s,training_data_generation_runtime_s,validation_tuning_overhead_runtime_s,total_ncv_setup_runtime_s,ncv_setup_cost_s,setup_cost_excludes_validation_generation_and_evaluation_runtime,inference_runtime_per_observation_s,training_continuous_no_reinit_between_checkpoints
w8_n100,0,0,test,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,102.868439919564,6.149411986176467,0.9035277133681086,0.8908002312967407,72.9338871112683,1.0438012095737559,-0.7612250359045675,-0.08724478670061853,5.24588427280836,75.5001383926512,6.1366845041051,0.1510002767853024,0.38858754069746293,0.9660099791071022,1.037786267908504,0.037089855939218645,0.0,0.0003785139999763487,0.007471462000012252,0.0003785139999763487,0.0,True,2.012520001244411e-07,True
w8_n100,0,1,training,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,82.30384035087638,6.300217984482835,1.4269671778771482,0.9971998008023716,65.37394049012116,1.8373820987255005,4.032294159679187,0.3679172366675538,4.873250806605687,59.146734269488284,5.870450607408059,0.11829346853897657,0.34393817546032396,1.1052840245119884,1.1282955856750112,0.12070816278645545,0.0024672829999872192,0.0003785139999763487,0.007471462000012252,0.002845796999963568,0.002845796999963568,True,2.1534600000450156e-07,True
w8_n100,0,1,validation,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,92.8630597519947,5.603519398115148,0.9320665608352939,0.9971998008023716,69.75555187904834,1.0268900809757429,-0.3075670305732313,-0.03634029184598146,4.671452837279855,71.39757602117054,5.668652638082226,0.14279515204234108,0.37788245797118064,0.9770016822190811,1.1282955856750112,0.12070816278645545,0.0024672829999872192,0.0003785139999763487,0.007471462000012252,0.002845796999963568,0.002845796999963568,True,2.1534600000450156e-07,True
w8_n100,0,1,test,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,100.88026133724259,6.149411986176467,1.0076027042348248,0.9971998008023716,72.9338871112683,1.1235879930093025,-0.2668830116795103,-0.029481712370704866,5.141809281941643,74.59124112763664,6.139009082744014,0.14918248225527328,0.38624148178992024,0.9777808494494367,1.1282955856750112,0.12070816278645545,0.0024672829999872192,0.0003785139999763487,0.007471462000012252,0.002845796999963568,0.002845796999963568,True,2.1534600000450156e-07,True
w8_n100,0,2,training,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,74.05411847197094,6.300217984482835,1.7492236247593567,1.1128893034270253,65.37394049012116,2.647090967167264,7.069824410595717,0.5374299471062809,4.550994359723478,53.881382636096994,5.663883663150504,0.10776276527219399,0.3282723949286537,1.213293670127999,1.2322179982966421,0.208815796127465,0.008368936000010763,0.0003785139999763487,0.007471462000012252,0.008747449999987111,0.008747449999987111,True,1.9569999994928368e-07,True
w8_n100,0,2,validation,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,91.25081762915441,5.603519398115148,1.0182648473998357,1.1128893034270253,69.75555187904834,1.1433610905849227,0.15987943240510982,0.017902410197291038,4.585254550715312,70.57915410482303,5.698143854142338,0.14115830820964606,0.375710404713053,0.9883308005568968,1.2322179982966421,0.208815796127465,0.008368936000010763,0.0003785139999763487,0.007471462000012252,0.008747449999987111,0.008747449999987111,True,1.9569999994928368e-07,True
w8_n100,0,2,test,1042,2042,3042,4042,85142,100,200,500,8,2033,2033,20.33,20.33,0.04918839153959666,98.9438436788381,6.149411986176467,1.1191066509994567,1.1128893034270253,72.9338871112683,1.2694120861250493,0.20792619502543372,0.02160942502445425,5.030305335177011,73.78744680734249,6.143194638604037,0.14757489361468498,0.38415477820103316,0.9884321828033593,1.2322179982966421,0.208815796127465,0.008368936000010763,0.0003785139999763487,0.007471462000012252,0.008747449999987111,0.008747449999987111,True,1.9569999994928368e-07,True
w32_n200,0,0,training,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,77.51399451738357,5.20290471923687,0.10815620512317228,0.09314692038365258,50.99452317302162,1.0441890466709933,0.11104852425845398,0.015218135871339588,5.094748514113698,51.8166151711757,5.187895434497351,0.10363323034235139,0.321921155474988,0.9841345870347126,1.2808591160500888,0.24753103720213507,0.0,0.0006782809999776873,0.007471462000012252,0.0006782809999776873,0.0,True,3.9136400005190807e-07,True
w32_n200,0,0,validation,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,99.28450649904735,5.603519398115148,0.19811423827640895,0.09314692038365258,69.75555187904834,1.230717661470171,0.28403851044213596,0.030655515277989247,5.40540515983874,70.41819251963423,5.498552080222392,0.14083638503926846,0.375281740881792,0.9905899226197672,1.2808591160500888,0.24753103720213507,0.0,0.0006782809999776873,0.007471462000012252,0.0006782809999776873,0.0,True,3.9136400005190807e-07,True
w32_n200,0,0,test,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,109.27302416217971,6.149411986176467,0.22449783606458393,0.09314692038365258,72.9338871112683,1.3605225967979018,-0.011320434535868756,-0.0011364374518887162,5.924914150111884,74.31705057713793,6.018061070495536,0.14863410115427586,0.3855309341081152,0.9813883428482678,1.2808591160500888,0.24753103720213507,0.0,0.0006782809999776873,0.007471462000012252,0.0006782809999776873,0.0,True,3.9136400005190807e-07,True
w32_n200,0,1,training,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,63.51536056262265,5.20290471923687,0.7365648555739945,0.39980492327600503,50.99452317302162,1.2881589332964027,4.248291412516531,0.5241647449472635,4.466339863662876,43.78609928128495,4.866144786938881,0.0875721985625699,0.2959260018358811,1.16462813564253,1.4757782863222189,0.3891855023764285,0.002078119999964656,0.0006782809999776873,0.007471462000012252,0.0027564009999423433,0.0027564009999423433,True,3.8118800011943677e-07,True
w32_n200,0,1,validation,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,93.7345899662451,5.603519398115148,0.48282921458498324,0.39980492327600503,69.75555187904834,1.3605956648490634,1.631881806851762,0.1675076977770391,5.120690183530165,67.85238393019387,5.52049510680617,0.13570476786038774,0.36838128055099073,1.0280486526576935,1.4757782863222189,0.3891855023764285,0.002078119999964656,0.0006782809999776873,0.007471462000012252,0.0027564009999423433,0.0027564009999423433,True,3.8118800011943677e-07,True
w32_n200,0,1,test,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,104.05096509309287,6.149411986176467,0.498243643786435,0.39980492327600503,72.9338871112683,1.4126518457389865,1.043378967951758,0.10279212098140392,5.651168342390033,72.25978102110378,6.050973265666038,0.14451956204220756,0.3801572859254542,1.0093289251730178,1.4757782863222189,0.3891855023764285,0.002078119999964656,0.0006782809999776873,0.007471462000012252,0.0027564009999423433,0.0027564009999423433,True,3.8118800011943677e-07,True
w32_n200,0,2,training,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,52.3655238046436,5.20290471923687,1.3276450493810439,0.7149379189811537,50.99452317302162,2.2852598933905113,7.872109474998774,0.7292250158021341,3.8752596698558275,37.53556411641458,4.590197588836981,0.07507112823282916,0.2739911097696952,1.3585655197525417,1.6910723505166854,0.5253628546408359,0.007786619999933464,0.0006782809999776873,0.007471462000012252,0.008464900999911151,0.008464900999911151,True,3.1840799988458456e-07,True
w32_n200,0,2,validation,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,88.5538894263561,5.603519398115148,0.7725656718286973,0.7149379189811537,69.75555187904834,1.6973669449535913,2.9547129191189825,0.2715426371163141,4.8309537262864515,65.54349298576395,5.545891645267605,0.1310869859715279,0.3620593680206713,1.0642635706674841,1.6910723505166854,0.5253628546408359,0.007786619999933464,0.0006782809999776873,0.007471462000012252,0.008464900999911151,0.008464900999911151,True,3.1840799988458456e-07,True
w32_n200,0,2,test,1042,2042,3042,4042,5042,200,200,500,32,8129,8129,40.645,40.645,0.024603272235207283,99.11674397892035,6.149411986176467,0.7900483620174886,0.7149379189811537,72.9338871112683,1.693454789764117,2.046153153441117,0.18411393226499417,5.35936362415898,70.53503559415019,6.074301543140133,0.14107007118830037,0.37559295944985494,1.0340093614033288,1.6910723505166854,0.5253628546408359,0.007786619999933464,0.0006782809999776873,0.007471462000012252,0.008464900999911151,0.008464900999911151,True,3.1840799988458456e-07,True
