config_id,hidden_width,train_paths,selected_checkpoint,metric,count,mean,std_dev,median,ci95_lower,ci95_upper
w16_n20000,16,20000,200,validation_tuning_overhead_runtime_s,10,0.46915403639998204,0.003887553560704491,0.46880785949997517,0.46637304811300123,0.47193502468696286
w16_n20000,16,20000,200,ncv_setup_cost_s,10,12.216053526999996,0.1954329028832144,12.16719553750005,12.076249250268594,12.355857803731398
w16_n20000,16,20000,200,inference_runtime_per_observation_s,10,2.369890160000523e-07,6.158216656698494e-09,2.3592335999978787e-07,2.3258369318621944e-07,2.4139433881388514e-07
w32_n5000,32,5000,25,training_data_generation_runtime_s,10,0.014113288400051261,0.0007606599477994837,0.013766692499984856,0.013569145053297616,0.014657431746804906
w32_n5000,32,5000,25,optimizer_cumulative_runtime_s,10,0.6142365085999586,0.010163258358188999,0.6158497755000099,0.606966151546264,0.6215068656536532
w32_n5000,32,5000,25,validation_tuning_overhead_runtime_s,10,0.5080168603000061,0.006956566469670147,0.5074932054999408,0.5030404324340836,0.5129932881659287
w32_n5000,32,5000,25,ncv_setup_cost_s,10,0.6283497970000098,0.010635282169268043,0.6296165165000502,0.6207417744532773,0.6359578195467424
w32_n5000,32,5000,25,inference_runtime_per_observation_s,10,3.05258472000105e-07,3.3734382577251623e-09,3.04784230002042e-07,3.028452596455757e-07,3.0767168435463435e-07
w32_n10000,32,10000,200,training_data_generation_runtime_s,10,0.02834173060003877,0.0013816953699826216,0.027422599000033188,0.02735332527517401,0.029330135924903532
w32_n10000,32,10000,200,optimizer_cumulative_runtime_s,10,6.893921438899997,0.05532028848510813,6.874688207499958,6.8543476884918855,6.9334951893081085
w32_n10000,32,10000,200,validation_tuning_overhead_runtime_s,10,0.5080168603000061,0.006956566469670147,0.5074932054999408,0.5030404324340836,0.5129932881659287
w32_n10000,32,10000,200,ncv_setup_cost_s,10,6.922263169500036,0.055144825991648334,6.903138503500031,6.8828149373983605,6.961711401601712
w32_n10000,32,10000,200,inference_runtime_per_observation_s,10,3.041032920004909e-07,2.948568582689158e-09,3.0311943000242535e-07,3.019940131021361e-07,3.0621257089884573e-07
w32_n20000,32,20000,200,training_data_generation_runtime_s,10,0.057411504100014096,0.0032818520849923075,0.05689295900003799,0.05506380854664063,0.059759199653387565
w32_n20000,32,20000,200,optimizer_cumulative_runtime_s,10,13.010399993399961,0.06493579279642363,13.018801771499966,12.96394772557836,13.056852261221563
w32_n20000,32,20000,200,validation_tuning_overhead_runtime_s,10,0.5080168603000061,0.006956566469670147,0.5074932054999408,0.5030404324340836,0.5129932881659287
w32_n20000,32,20000,200,ncv_setup_cost_s,10,13.067811497499974,0.0638261608956093,13.076075125999978,13.022153012521706,13.113469982478243
w32_n20000,32,20000,200,inference_runtime_per_observation_s,10,3.050518560003184e-07,3.2952831814034003e-09,3.0615630999818676e-07,3.026945524193725e-07,3.074091595812643e-07
