base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,price,observation_variance,estimator_variance,std_error,ci_lower,ci_upper,pricing_observations,pricing_simulated_paths,pilot_paths,target_training_paths,shared_reference_training_paths,total_simulated_paths,shared_reference_training_runtime_s,target_training_runtime_s,pilot_runtime_s,pricing_runtime_s,end_to_end_runtime_s,beta,corr_f_c0,param_hash,hash_verified,error
42,0,maturity_long,100.0,0.2,2.0,MC,5642,4642,3642,8.87358307859687,149.3729189094865,0.014937291890948648,0.1222182142356394,8.634035378695016,9.113130778498723,10000,10000,0,0,0,10000,0.0,0.0,0.0,0.06405417700000271,0.06405417700000271,nan,nan,,,
42,0,maturity_long,100.0,0.2,2.0,AV,5642,4642,3642,8.834737030901746,33.37659492360806,0.003337659492360806,0.057772480406858125,8.721502969304304,8.947971092499188,10000,20000,0,0,0,20000,0.0,0.0,0.0,0.09885379400009242,0.09885379400009242,nan,nan,,,
42,0,maturity_long,100.0,0.2,2.0,GCV,5642,4642,3642,8.736523206228794,0.2542752872696317,2.542752872696317e-05,0.005042571638257921,8.726639765817808,8.74640664663978,10000,10000,2000,0,0,12000,0.0,0.0,0.011882850999995753,0.048504793999995854,0.06038764499999161,1.0548094687352074,0.9991524941668297,,,
42,0,maturity_long,100.0,0.2,2.0,NCV_SCRATCH,5642,4642,3642,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,5642,4642,3642,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,0,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,5642,4642,3642,,,,,,,,,,,,,,,,,,,,,,torch_not_available
42,1,reference,100.0,0.2,1.0,MC,105042,104042,103042,5.90190177009612,64.47103635741678,0.006447103635741678,0.08029385802003587,5.744525808376849,6.05927773181539,10000,10000,0,0,0,10000,0.0,0.0,0.0,0.06507223099993098,0.06507223099993098,nan,nan,,,
42,1,reference,100.0,0.2,1.0,AV,105042,104042,103042,5.823319296010799,15.641005016269505,0.0015641005016269504,0.03954871049259319,5.745803823445316,5.900834768576281,10000,20000,0,0,0,20000,0.0,0.0,0.0,0.09977234100006172,0.09977234100006172,nan,nan,,,
42,1,reference,100.0,0.2,1.0,GCV,105042,104042,103042,5.7831773541945335,0.049820884004251505,4.982088400425151e-06,0.00223205922870007,5.778802518106281,5.787552190282786,10000,10000,2000,0,0,12000,0.0,0.0,0.011767767000037566,0.047555428999999094,0.05932319600003666,1.0349587806181673,0.9996328658986298,,,
42,1,reference,100.0,0.2,1.0,NCV_SCRATCH,105042,104042,103042,,,,,,,,,,,,,,,,,,,,,,torch_not_available
