replication,monitoring_dates,ncv_epoch,trajectory_id,training_data_generation_runtime_s,optimizer_cumulative_training_runtime_s,ncv_setup_cost_s,gcv_setup_cost_s,gcv_marginal_pricing_runtime_s,ncv_marginal_pricing_runtime_50000_s,ncv_marginal_pricing_runtime_matched_measured_s,ncv_marginal_pricing_runtime_matched_projected_s,break_even_q,break_even_failure_reason
7,12,25,rep7_m12,8.609999895270448e-07,0.2725729030000821,0.2725737640000716,0.00012988399998903333,0.02664173900006972,0.026366590999941764,0.03807349700014129,0.04297068801624509,NA,proposed_marginal_not_below_baseline_no_finite_break_even
7,12,1000,rep7_m12,8.609999895270448e-07,10.719828913000129,10.719829774000118,0.00012988399998903333,0.026769137999963277,0.024375929999905566,0.0014850610000394227,0.0012909492527949987,424,
7,252,25,rep7_m252,9.919999683916103e-07,0.39317136099998606,0.39317235299995446,0.0001319579998835252,0.39364768199993705,0.3394905610000478,NA,1.9256583601044712,NA,proposed_marginal_not_below_baseline_no_finite_break_even
7,252,1000,rep7_m252,9.919999683916103e-07,15.11973875600006,15.119739748000029,0.0001319579998835252,0.3948596489999545,0.3402262150000297,NA,2.3178319168335024,NA,proposed_marginal_not_below_baseline_no_finite_break_even
8,12,25,rep8_m12,9.520001640339615e-07,0.2721298339999976,0.2721307860001616,0.00013549499999498948,0.02663290100008453,0.023528965999958018,0.0502365469999404,0.05108138518590885,NA,proposed_marginal_not_below_baseline_no_finite_break_even
8,12,1000,rep8_m12,9.520001640339615e-07,10.819652539000117,10.819653491000281,0.00013549499999498948,0.026636688000053255,0.023521922999862,0.0015771350001614337,0.0013548627647920512,432,
8,252,25,rep8_m252,9.420000424142927e-07,0.392727222999838,0.3927281649998804,0.00014104499996392406,0.39411437800004023,0.3420071350001308,NA,1.9303908720812384,NA,proposed_marginal_not_below_baseline_no_finite_break_even
8,252,1000,rep8_m252,9.420000424142927e-07,15.220341613999835,15.220342555999878,0.00014104499996392406,0.3928551300000436,0.338471084000048,NA,1.853900898971783,NA,proposed_marginal_not_below_baseline_no_finite_break_even
9,12,25,rep9_m12,9.82000074145617e-07,0.27412173100015025,0.2741227130002244,0.00013502399997378234,0.02687956399995528,0.024301046999880782,0.05026878700005,0.05343265612239787,NA,proposed_marginal_not_below_baseline_no_finite_break_even
9,12,1000,rep9_m12,9.82000074145617e-07,10.880078379999986,10.88007936200006,0.00013502399997378234,0.026704194000103598,0.023458303000097658,0.0013657980000516545,0.001011991191424213,430,
9,252,25,rep9_m252,1.002000090011279e-06,0.3990661799998634,0.3990671819999534,0.00014033299999027804,0.39730723299999227,0.34012595200010765,NA,1.8528905436729064,NA,proposed_marginal_not_below_baseline_no_finite_break_even
