base_seed,replication,contract_id,K,sigma,T,method,pricing_seed,pilot_seed,target_training_seed,error
42,10,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1005242,1004242,1003242,torch_not_available
42,10,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1005242,1004242,1003242,torch_not_available
42,10,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1005342,1004342,1003342,torch_not_available
42,10,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1005342,1004342,1003342,torch_not_available
42,10,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1005442,1004442,1003442,torch_not_available
42,10,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1005442,1004442,1003442,torch_not_available
42,10,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA1,1005542,1004542,1003542,torch_not_available
42,10,maturity_short,100.0,0.2,0.5,NCV_TRANSFER_BETA,1005542,1004542,1003542,torch_not_available
42,10,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA1,1005642,1004642,1003642,torch_not_available
42,10,maturity_long,100.0,0.2,2.0,NCV_TRANSFER_BETA,1005642,1004642,1003642,torch_not_available
42,11,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA1,1105142,1104142,1103142,torch_not_available
42,11,strike_low,80.0,0.2,1.0,NCV_TRANSFER_BETA,1105142,1104142,1103142,torch_not_available
42,11,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA1,1105242,1104242,1103242,torch_not_available
42,11,strike_high,120.0,0.2,1.0,NCV_TRANSFER_BETA,1105242,1104242,1103242,torch_not_available
42,11,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA1,1105342,1104342,1103342,torch_not_available
42,11,volatility_low,100.0,0.1,1.0,NCV_TRANSFER_BETA,1105342,1104342,1103342,torch_not_available
42,11,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA1,1105442,1104442,1103442,torch_not_available
42,11,volatility_high,100.0,0.5,1.0,NCV_TRANSFER_BETA,1105442,1104442,1103442,torch_not_available
