replication,contract_id,method,phase,runtime_s,timing_repetition_index
7,maturity_short,MC,pricing,0.06428701799995906,1
7,maturity_short,AV,pricing,0.10024301199996444,1
7,maturity_short,GCV,pilot,0.011971209000080307,1
7,maturity_short,GCV,pricing,0.04912401499996122,1
7,maturity_long,MC,pricing,0.06431001099997502,1
7,maturity_long,AV,pricing,0.09889548800003922,1
7,maturity_long,GCV,pilot,0.011848771000018132,1
7,maturity_long,GCV,pricing,0.049065766000012445,1
8,reference,MC,pricing,0.06388271299999815,1
8,reference,AV,pricing,0.09908528300002217,1
8,reference,GCV,pilot,0.012464588999932857,1
8,reference,GCV,pricing,0.049314289999983885,1
8,strike_low,MC,pricing,0.06444662499995957,1
8,strike_low,AV,pricing,0.09870263900006648,1
8,strike_low,GCV,pilot,0.01173864500003674,1
8,strike_low,GCV,pricing,0.04848223599992707,1
8,strike_high,MC,pricing,0.0639449909999712,1
8,strike_high,AV,pricing,0.0991819769999438,1
8,strike_high,GCV,pilot,0.011771952000003694,1
8,strike_high,GCV,pricing,0.048783176000029016,1
8,volatility_low,MC,pricing,0.06435068899997987,1
8,volatility_low,AV,pricing,0.09870569899999282,1
8,volatility_low,GCV,pilot,0.011741333000031773,1
8,volatility_low,GCV,pricing,0.04876510299993697,1
8,volatility_high,MC,pricing,0.06383745099992666,1
8,volatility_high,AV,pricing,0.0988206629999695,1
8,volatility_high,GCV,pilot,0.011674469000013232,1
8,volatility_high,GCV,pricing,0.048743814000090424,1
8,maturity_short,MC,pricing,0.06398144900003899,1
8,maturity_short,AV,pricing,0.09902293000004647,1
8,maturity_short,GCV,pilot,0.01152806600009626,1
8,maturity_short,GCV,pricing,0.048707646000025306,1
8,maturity_long,MC,pricing,0.0640662580000253,1
8,maturity_long,AV,pricing,0.1003884479999897,1
8,maturity_long,GCV,pilot,0.011419673999967017,1
8,maturity_long,GCV,pricing,0.04845755899998494,1
9,reference,MC,pricing,0.0638890769999989,1
9,reference,AV,pricing,0.09972228399999494,1
9,reference,GCV,pilot,0.011934373999906711,1
9,reference,GCV,pricing,0.049646988000063175,1
9,strike_low,MC,pricing,0.0655542740000783,1
9,strike_low,AV,pricing,0.09936615100002655,1
9,strike_low,GCV,pilot,0.012142972999981794,1
9,strike_low,GCV,pricing,0.04912151700000322,1
9,strike_high,MC,pricing,0.06502167100006773,1
9,strike_high,AV,pricing,0.09956804800003738,1
9,strike_high,GCV,pilot,0.011647557999935998,1
9,strike_high,GCV,pricing,0.048952823000036005,1
9,volatility_low,MC,pricing,0.06415413199999875,1
9,volatility_low,AV,pricing,0.09836583399999199,1
9,volatility_low,GCV,pilot,0.01135898100005761,1
9,volatility_low,GCV,pricing,0.048437712000009014,1
9,volatility_high,MC,pricing,0.0641381509999519,1
9,volatility_high,AV,pricing,0.10069120200000725,1
9,volatility_high,GCV,pilot,0.0122000390000494,1
9,volatility_high,GCV,pricing,0.048819003000062366,1
9,maturity_short,MC,pricing,0.06464765199996236,1
9,maturity_short,AV,pricing,0.09991910299993378,1
9,maturity_short,GCV,pilot,0.012067531999946368,1
9,maturity_short,GCV,pricing,0.04989169399993898,1
9,maturity_long,MC,pricing,0.06446008199998232,1
9,maturity_long,AV,pricing,0.10001855799998793,1
9,maturity_long,GCV,pilot,0.012146289999918736,1
9,maturity_long,GCV,pricing,0.04901236399996378,1
10,reference,MC,pricing,0.06508909499996207,1
10,reference,AV,pricing,0.10044033500003025,1
10,reference,GCV,pilot,0.011973387000011826,1
10,reference,GCV,pricing,0.049394547000019884,1
10,strike_low,MC,pricing,0.06452865999995083,1
10,strike_low,AV,pricing,0.1005644569999049,1
10,strike_low,GCV,pilot,0.012120972000047914,1
10,strike_low,GCV,pricing,0.04891596499999196,1
10,strike_high,MC,pricing,0.06504018400005407,1
10,strike_high,AV,pricing,0.10404011000002811,1
10,strike_high,GCV,pilot,0.011916309999946861,1
10,strike_high,GCV,pricing,0.05010784799992507,1
10,volatility_low,MC,pricing,0.06429300100001001,1
10,volatility_low,AV,pricing,0.09900348400003622,1
10,volatility_low,GCV,pilot,0.0117031219999717,1
10,volatility_low,GCV,pricing,0.049524249000000964,1
10,volatility_high,MC,pricing,0.06471914600001583,1
10,volatility_high,AV,pricing,0.10086190100003023,1
10,volatility_high,GCV,pilot,0.011824508999893624,1
10,volatility_high,GCV,pricing,0.05009842000004028,1
10,maturity_short,MC,pricing,0.06444930300006035,1
10,maturity_short,AV,pricing,0.09927088299991738,1
10,maturity_short,GCV,pilot,0.011846569999988787,1
10,maturity_short,GCV,pricing,0.04964107699993292,1
10,maturity_long,MC,pricing,0.0646910329999173,1
10,maturity_long,AV,pricing,0.10018006899997545,1
10,maturity_long,GCV,pilot,0.011910258999932921,1
10,maturity_long,GCV,pricing,0.04947239199998421,1
11,reference,MC,pricing,0.06453777700005503,1
11,reference,AV,pricing,0.1000009949999594,1
11,reference,GCV,pilot,0.012096195999902193,1
11,reference,GCV,pricing,0.049871237000047586,1
11,strike_low,MC,pricing,0.06462862599994423,1
11,strike_low,AV,pricing,0.0997452379999686,1
11,strike_low,GCV,pilot,0.012020994999943468,1
11,strike_low,GCV,pricing,0.04948971500004973,1
