contract_id,method,n_successful_replications,n_failed_replications,mean_estimated_price,empirical_std_estimates,mean_model_reported_standard_error,observation_variance,estimator_variance,high_precision_reference_price,bias_vs_reference,absolute_bias,rmse,mae,ci95_coverage,mean_ci_width,computational_efficiency_runtime,computational_efficiency_paths,failed_replication_errors,variance_reduction_ratio_vs_mc_mean,variance_reduction_ratio_vs_mc_median,variance_reduction_ratio_vs_mc_std,variance_reduction_ratio_vs_mc_ci95_lower,variance_reduction_ratio_vs_mc_ci95_upper,variance_reduction_ratio_vs_gcv_mean,variance_reduction_ratio_vs_gcv_median,variance_reduction_ratio_vs_gcv_std,variance_reduction_ratio_vs_gcv_ci95_lower,variance_reduction_ratio_vs_gcv_ci95_upper
maturity_short,NCV_TRANSFER_BETA,0,30,nan,0.0,nan,nan,nan,4.109309032986655,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
maturity_short,NCV_TRANSFER_BETA1,0,30,nan,0.0,nan,nan,nan,4.109309032986655,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
reference,AV,30,0,5.779615932115855,0.04124545042496272,0.03937593981765979,15.506228385763725,0.0015506228385763724,6.155931134141373,-0.37631520202551805,0.37631520202551805,0.3784938734205689,0.37631520202551766,0.0,0.1543536840852265,6473.243034825219,0.03228632564520707,,4.141088897401499,4.152342394277055,0.08202364159619993,4.11173711421754,4.1704406805854575,0.0031567746118424714,0.00316848425531109,0.00013621273108104515,0.003108031512026589,0.003205517711658354
reference,GCV,30,0,5.782083394841477,0.0015931021728384776,0.002211676800892862,0.048934821119739604,4.89348211197396e-06,6.155931134141373,-0.37384773929989645,0.37384773929989645,0.37385102053495217,0.37384773929989634,0.0,0.008669773059500112,3349681.9620613316,17.030042555923053,,1313.8290860103016,1305.0224833297907,54.399383904800864,1294.3625164866603,1333.2956555339429,1.0,1.0,0.0,1.0,1.0
reference,MC,30,0,5.774394850781038,0.0872854327291997,0.08012100842848352,64.20012084030436,0.006420012084030436,6.155931134141373,-0.38153628336033574,0.38153628336033574,0.39106869481151874,0.381536283360336,0.0,0.31407435303965536,2424.2979419122735,0.015608953331848842,,1.0,1.0,0.0,1.0,1.0,0.0007623846236116947,0.0007662972041768711,3.128347685642696e-05,0.0007511899751900769,0.0007735792720333125
reference,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,6.155931134141373,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
strike_high,AV,30,0,0.5327536278355239,0.018063671007663533,0.017173092867654397,2.951046460260443,0.0002951046460260443,0.6748310180943571,-0.14207739025883315,0.14207739025883315,0.1431831152499883,0.14207739025883312,0.0,0.06731852404120522,34245.17448336075,0.17006554316980926,,2.09312381776347,2.1016701607339026,0.10849610803271174,2.054298984126395,2.1319486514005455,0.01053608324508162,0.010426246692249338,0.0008093286454192153,0.010246468708801233,0.010825697781362007
strike_high,GCV,30,0,0.5333460156664185,0.0021026953161340615,0.0017602867212702683,0.031007125674256526,3.100712567425653e-06,0.6748310180943571,-0.1414850024279386,0.1414850024279386,0.14150010551953612,0.14148500242793857,0.0,0.006900323947379472,5340988.94234733,27.159218520476703,,199.48404418500553,201.66578461985054,14.617527916486418,194.25322899878907,204.714859371222,1.0,1.0,0.0,1.0,1.0
strike_high,MC,30,0,0.5351715116407672,0.021521526301188164,0.02483066756119006,6.170456306229474,0.0006170456306229474,0.6748310180943571,-0.13965950645358993,0.13965950645358993,0.1412533703458032,0.13965950645358993,0.0,0.09733621683986501,25173.034454687353,0.16197790907602683,,1.0,1.0,0.0,1.0,1.0,0.005039711613707949,0.004958724350645088,0.0003792193388555046,0.004904009716100824,0.005175413511315074
strike_high,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,0.6748310180943571,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
strike_high,NCV_TRANSFER_BETA,0,30,nan,0.0,nan,nan,nan,0.6748310180943571,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
strike_high,NCV_TRANSFER_BETA1,0,30,nan,0.0,nan,nan,nan,0.6748310180943571,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
strike_low,AV,30,0,21.49782622979082,0.01144463491533742,0.013997950061426295,1.9604324990665078,0.00019604324990665079,21.718869590845824,-0.22104336105500266,0.22104336105500266,0.22132957584988963,0.221043361055001,0.0,0.05487196424079125,51550.412477492566,0.25617397023052263,,65.15776190727479,65.6123183859024,2.861206738565264,64.1338922253081,66.18163158924148,0.04352100501776969,0.04358596895870857,0.0018794121747846024,0.042848466008356505,0.044193544027182875
strike_low,GCV,30,0,21.50157140504806,0.00219808813978434,0.002918691763920244,0.08522029899379711,8.52202989937971e-06,21.718869590845824,-0.2172981857977625,0.2172981857977625,0.21730893237375326,0.21729818579776322,0.0,0.011441271714568066,1913230.7238697417,9.759695162487253,,1498.1106063540349,1485.3364253037996,55.55873140587837,1478.2291696552197,1517.99204305285,1.0,1.0,0.0,1.0,1.0
strike_low,MC,30,0,21.497990301966226,0.12539188620739142,0.1129128732063642,127.49945341779622,0.01274994534177962,21.718869590845824,-0.22087928887959762,0.22087928887959762,0.2529558878771485,0.2262476452216423,0.5,0.4426184629689478,1213.021928565672,0.0078185057295213,,1.0,1.0,0.0,1.0,1.0,0.0006683967894383461,0.0006732484066891095,2.4847192995618237e-05,0.0006595053356166816,0.0006772882432600106
strike_low,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,21.718869590845824,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
strike_low,NCV_TRANSFER_BETA,0,30,nan,0.0,nan,nan,nan,21.718869590845824,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
strike_low,NCV_TRANSFER_BETA1,0,30,nan,0.0,nan,nan,nan,21.718869590845824,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
volatility_high,AV,30,0,12.282558186345975,0.14975301445482825,0.1217196763045619,148.19104429282672,0.014819104429282672,13.12246025712049,-0.8399020707745155,0.8399020707745155,0.8527097522907099,0.8399020707745156,0.0,0.4771411311138825,673.1992392745688,0.003349064915734509,,3.0430040393052744,3.04217353356862,0.06719933958930446,3.0189570644655,3.067051014145049,0.014482827994181971,0.014377196129431911,0.0010129240456175142,0.01412035777961689,0.014845298208747052
volatility_high,GCV,30,0,12.355367981913354,0.017127425131857468,0.01464071249365365,2.146834646192317,0.0002146834646192317,13.12246025712049,-0.767092275207137,0.767092275207137,0.7672770875533735,0.7670922752071366,0.0,0.05739159297512231,76916.14765585463,0.38907749983906875,,211.02863660813446,211.45677109323515,14.393787681662229,205.87788583669268,216.17938737957624,1.0,1.0,0.0,1.0,1.0
volatility_high,MC,30,0,12.365464279714589,0.24214950099408789,0.21231742748996443,450.9438861142884,0.04509438861142884,13.12246025712049,-0.7569959774059019,0.7569959774059019,0.7935519797799512,0.7569959774059022,0.06666666666666667,0.8322843157606603,346.5541528417062,0.002228077690308819,,1.0,1.0,0.0,1.0,1.0,0.0047594544224205835,0.004729137173031654,0.000316323617573339,0.004646259469620434,0.004872649375220733
volatility_high,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,13.12246025712049,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
volatility_high,NCV_TRANSFER_BETA,0,30,nan,0.0,nan,nan,nan,13.12246025712049,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
volatility_high,NCV_TRANSFER_BETA1,0,30,nan,0.0,nan,nan,nan,13.12246025712049,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
volatility_low,AV,30,0,3.650425790169039,0.016529283038684298,0.01676620875857676,2.81136214988398,0.000281136214988398,3.9049166311571355,-0.2544908409880966,0.2544908409880966,0.25500921180356595,0.2544908409880968,0.0,0.0657235383336209,35816.06463465051,0.17814251981373203,,6.3598456806095784,6.357593104719925,0.10511850602296233,6.322229506329033,6.397461854890124,0.0013446858202153212,0.001338646311953247,6.569921751491324e-05,0.0013211756571656617,0.0013681959832649807
volatility_low,GCV,30,0,3.653913783819246,0.0005894172983999059,0.000614593112662506,0.003779241936504669,3.7792419365046694e-07,3.9049166311571355,-0.25100284733788936,0.25100284733788936,0.2510035163181075,0.2510028473378895,0.0,0.002409205001637016,43654500.96177001,221.6024519527048,,4738.689936992859,4752.0765673799415,204.68670398322544,4665.443740664102,4811.936133321616,1.0,1.0,0.0,1.0,1.0
volatility_low,MC,30,0,3.6510335916611814,0.05186876282559988,0.04227947409483459,17.877465730602992,0.0017877465730602993,3.9049166311571355,-0.25388303949595414,0.25388303949595414,0.25895421863499485,0.25388303949595437,0.0,0.16573553845175157,8736.68451777013,0.05606942372435576,,1.0,1.0,0.0,1.0,1.0,0.00021141236635069293,0.00021043452171865483,9.199579712899198e-06,0.0002081203390295227,0.00021470439367186317
volatility_low,NCV_SCRATCH,0,30,nan,0.0,nan,nan,nan,3.9049166311571355,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
volatility_low,NCV_TRANSFER_BETA,0,30,nan,0.0,nan,nan,nan,3.9049166311571355,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
volatility_low,NCV_TRANSFER_BETA1,0,30,nan,0.0,nan,nan,nan,3.9049166311571355,nan,nan,nan,nan,nan,nan,nan,nan,torch_not_available,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
